Stress,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0
1,0.1,0.1,0.15,0.28,0.7,0.7,0.05,0.05
2,0.1,0.1,0.28,0.42,0.84,0.84,0.05,0.05
3,0.15,0.15,0.42,0.56,0.98,0.98,0.07,0.07
4,0.28,0.28,0.56,0.7,1.4,1.4,0.1,0.1
5,0.42,0.42,0.7,0.84,1.68,1.68,0.1,0.1
6,0.56,0.56,0.84,0.98,1.96,1.96,0.1,0.1
7,0.7,0.7,0.98,1.4,2.24,2.24,0.15,0.15
8,0.84,0.84,1.4,1.68,2.52,2.52,0.28,0.28
9,0.98,0.98,1.68,1.96,2.8,2.8,0.42,0.42
10,1.4,1.4,1.96,2.24,3.08,3.08,0.56,0.56
11,1.68,1.68,2.24,2.52,3.36,3.36,0.7,0.7
12,1.96,1.96,2.52,2.8,3.92,3.92,0.84,0.84
13,2.24,2.24,2.8,3.08,4.48,4.48,0.98,0.98
14,2.52,2.52,3.08,3.36,5.04,5.04,1.4,1.4
15,2.8,2.8,3.36,3.92,5.6,5.6,1.68,1.68
16,3.08,3.08,3.92,4.48,6.16,6.16,1.96,1.96
17,3.36,3.36,4.48,5.04,6.72,6.72,2.24,2.24
18,3.92,3.92,5.04,5.6,7.28,7.28,2.52,2.52
19,4.48,4.48,5.6,6.16,7.84,7.84,2.8,2.8
20,5.04,5.04,6.16,6.72,8.4,8.4,3.08,3.08
21,5.6,5.6,6.72,7.28,8.96,8.96,3.36,3.36
22,6.16,6.16,7.28,7.84,9.52,9.52,3.92,3.92
23,6.72,6.72,7.84,8.4,10.08,10.08,4.48,4.48
24,7.28,7.28,8.4,8.96,10.64,10.64,5.04,5.04
25,7.84,7.84,8.96,9.52,11.2,11.2,5.6,5.6
26,8.4,8.4,9.52,10.08,11.76,11.76,6.16,6.16
27,8.96,8.96,10.08,10.64,12.32,12.32,6.72,6.72
28,9.52,9.52,10.64,11.2,12.88,12.88,7.28,7.28
29,10.08,10.08,11.2,11.76,13.44,13.44,7.84,7.84
30,10.64,10.64,11.76,12.32,14,14,8.4,8.4
31,11.2,11.2,12.32,12.88,14.56,14.56,8.96,8.96
32,11.76,11.76,12.88,13.44,15.12,15.12,9.52,9.52
33,12.32,12.32,13.44,14,15.68,15.68,10.08,10.08
34,12.88,12.88,14,14.56,16.24,16.24,10.64,10.64
35,13.44,13.44,14.56,15.12,16.8,16.8,11.2,11.2
36,14,14,15.12,15.68,17.36,17.36,11.76,11.76
37,14.56,14.56,15.68,16.24,17.92,17.92,12.32,12.32
38,15.12,15.12,16.24,16.8,18.48,18.48,12.88,12.88
39,15.68,15.68,16.8,17.36,19.04,19.04,13.44,13.44
40,16.24,16.24,17.36,17.92,19.6,19.6,14,14
41,16.8,16.8,17.92,18.48,20.16,20.16,14.56,14.56
42,17.36,17.36,18.48,19.04,20.72,20.72,15.12,15.12
43,17.92,17.92,19.04,19.6,21.28,21.28,15.68,15.68
44,18.48,18.48,19.6,20.16,21.84,21.84,16.24,16.24
45,19.04,19.04,20.16,20.72,22.4,22.4,16.8,16.8
46,19.6,19.6,20.72,21.28,22.96,22.96,17.36,17.36
47,20.16,20.16,21.28,21.84,23.52,23.52,17.92,17.92
48,20.72,20.72,21.84,22.4,24,24,18.48,18.48
49,21.28,21.28,22.4,22.96,24,24,19.04,19.04
50,21.84,21.84,22.96,23.52,24,24,19.6,19.6
51,22,22,23,24,25,25,20,20
52,23,23,24,25,26,26,21,21
53,24,24,25,26,27,27,22,22
54,25,25,26,27,28,28,23,23
55,26,26,27,28,29,29,24,24
56,27,27,28,29,30,30,25,25
57,28,28,29,30,31,31,26,26
58,29,29,30,31,32,32,27,27
59,30,30,31,32,33,33,28,28
60,31,31,32,33,34,34,29,29
61,32,32,33,34,35,35,30,30
62,33,33,34,35,36,36,31,31
63,34,34,35,36,37,37,32,32
64,35,35,36,37,38,38,33,33
65,36,36,37,38,39,39,34,34
66,37,37,38,39,40,40,35,35
67,38,38,39,40,41,41,36,36
68,39,39,40,41,42,42,37,37
69,40,40,41,42,43,43,38,38
70,41,41,42,43,44,44,39,39
71,42,42,43,44,45,45,40,40
72,43,43,44,45,46,46,41,41
73,44,44,45,46,47,47,42,42
74,45,45,46,47,48,48,43,43
75,46,46,47,48,49,49,44,44
76,47,47,48,49,50,50,45,45
77,48,48,49,50,51,51,46,46
78,49,49,50,51,52,52,47,47
79,50,50,51,52,53,53,48,48
80,51,51,52,53,54,54,49,49
81,52,52,53,54,55,55,50,50
82,53,53,54,55,56,56,51,51
83,54,54,55,56,57,57,52,52
84,55,55,56,57,58,58,53,53
85,56,56,57,58,59,59,54,54
86,57,57,58,59,60,60,55,55
87,58,58,59,60,61,61,56,56
88,59,59,60,61,62,62,57,57
89,60,60,61,62,63,63,58,58
90,61,61,62,63,64,64,59,59
91,62,62,63,64,65,65,60,60
92,63,63,64,65,66,66,61,61
93,64,64,65,66,67,67,62,62
94,65,65,66,67,68,68,63,63
95,66,66,67,68,69,69,64,64
96,67,67,68,69,70,70,65,65
97,68,68,69,70,71,71,66,66
98,69,69,70,71,72,72,67,67
99,70,70,71,72,73,73,68,68
100,71,71,72,73,74,74,69,69
